,movieId,title,userID
0,4447,Legally Blonde,1
1,62,Mr. Holland's Opus,1
2,4226,Memento,1
3,1036,Die Hard,1
4,3033,Spaceballs,1
5,1240,"Terminator, The",1
6,3408,Erin Brockovich,1
7,95,Broken Arrow,1
8,2355,"Bug's Life, A",1
9,2268,"Few Good Men, A",1
10,316,Stargate,1
0,4447,Legally Blonde,4
1,62,Mr. Holland's Opus,4
2,4226,Memento,4
3,1036,Die Hard,4
4,3033,Spaceballs,4
5,1240,"Terminator, The",4
6,3408,Erin Brockovich,4
7,95,Broken Arrow,4
8,2355,"Bug's Life, A",4
9,2268,"Few Good Men, A",4
10,316,Stargate,4
0,4447,Legally Blonde,6
1,62,Mr. Holland's Opus,6
2,4226,Memento,6
3,1036,Die Hard,6
4,3033,Spaceballs,6
5,1240,"Terminator, The",6
6,3408,Erin Brockovich,6
7,95,Broken Arrow,6
8,2355,"Bug's Life, A",6
9,2268,"Few Good Men, A",6
10,316,Stargate,6
